relation	concept	tsne_x	tsne_y
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#9919	7.051	7.791
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#81631	6.531	2.736
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#23517	6.752	1.897
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5566	6.970	5.009
#gene-disease-association	#gene-disease-association_disease/mesh#D002277	4.616	5.870
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#51332	5.477	6.692
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3309	5.519	4.996
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#54331	2.740	2.593
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7514	5.109	9.001
#drug-has-indication	#drug-has-indication_disease/mesh#D002318	8.831	4.286
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#171177	8.629	9.230
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3909	3.501	7.141
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3685	3.640	7.849
#gene-disease-association	#gene-disease-association_disease/mesh#D012871	7.151	6.857
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2534	4.183	7.988
#gene-disease-association	#gene-disease-association_disease/mesh#D009369	4.259	2.830
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#121504	8.992	5.123
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#7157	5.817	4.896
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#23363	8.123	3.622
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#59345	2.746	2.499
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8607	8.325	6.504
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#2313	8.984	7.566
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#8481	7.142	5.432
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8322	1.963	1.950
#gene-disease-association	#gene-disease-association_disease/mesh#D015430	3.539	2.745
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10735	5.362	8.359
#gene-disease-association	#gene-disease-association_disease/mesh#D012559	3.530	2.148
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#6775	2.446	9.095
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6708	5.532	6.676
#gene-disease-association	#gene-disease-association_disease/mesh#D001749	4.448	2.986
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3371	3.052	7.752
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#57187	3.250	5.793
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#55742	3.803	7.034
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2791	2.651	2.473
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#4087	3.329	1.272
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3684	3.722	7.783
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7043	3.200	1.555
#gene-disease-association	#gene-disease-association_disease/mesh#D001930	0.216	2.510
pathwaycommons#chemical-affects	pathwaycommons#chemical-affects_gene/entrez#1812	4.844	3.670
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7014	8.698	6.777
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2778	3.026	2.276
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6863	3.619	1.630
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#50511	8.677	6.888
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#6683	7.484	2.800
#gene-disease-association	#gene-disease-association_disease/mesh#D007251	6.594	3.498
#gene-disease-association	#gene-disease-association_disease/mesh#D009203	1.770	3.146
#gene-disease-association	#gene-disease-association_disease/mesh#D001249	0.257	3.084
#gene-disease-association	#gene-disease-association_disease/mesh#D006930	3.449	2.566
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2785	2.755	2.335
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8367	9.128	5.190
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8766	7.008	4.782
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10383	6.587	4.825
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#26123	5.489	3.036
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#23353	8.770	6.879
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3672	4.084	7.849
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5829	4.045	7.226
#drug-has-target	#drug-has-target_protein/uniprot#Q14524	4.647	1.641
#gene-disease-association	#gene-disease-association_disease/mesh#D000544	2.981	3.224
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#58484	8.178	3.410
pathwaycommons#controls-transport-of-chemical	pathwaycommons#controls-transport-of-chemical_chemical/chebi#29101	2.600	5.860
#gene-disease-association	#gene-disease-association_disease/mesh#D009336	3.315	2.438
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6256	9.350	5.860
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3263	8.741	3.013
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#23354	7.558	5.062
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#22938	7.119	1.916
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3860	8.533	3.296
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#26123	6.834	4.691
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5440	9.856	6.170
pathwaycommons#controls-phosphorylation-of	pathwaycommons#controls-phosphorylation-of_gene/entrez#1956	4.950	1.840
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#79447	9.293	6.196
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#4641	7.149	8.221
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#283160	8.026	3.404
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#1956	5.073	2.085
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6426	7.081	1.754
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6711	5.528	6.673
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5432	9.832	6.283
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#389	8.568	9.057
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3630	5.732	6.821
#gene-disease-association	#gene-disease-association_disease/mesh#D007674	3.304	2.812
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#11337	3.823	5.132
#gene-disease-association	#gene-disease-association_disease/mesh#D004938	4.237	2.364
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#23450	6.775	1.808
pathwaycommons#controls-phosphorylation-of	pathwaycommons#controls-phosphorylation-of_gene/entrez#10000	2.141	9.319
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#132320	6.925	4.816
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6117	5.938	3.215
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3690	3.370	7.767
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#672	9.502	7.571
#gene-disease-association	#gene-disease-association_disease/mesh#D001943	4.034	3.658
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#55920	5.444	9.225
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#10528	6.264	8.285
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#7534	5.561	4.691
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#4868	8.149	3.430
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5433	9.889	6.291
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10806	6.845	4.955
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3214	9.002	6.117
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5296	5.349	3.559
#drug-has-target	#drug-has-target_protein/uniprot#P35499	4.598	1.142
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2787	2.688	2.338
#gene-disease-association	#gene-disease-association_disease/mesh#D015428	2.438	3.887
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6866	3.619	1.630
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#6772	2.268	9.022
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10524	9.386	7.159
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3778	8.582	3.086
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#54069	8.317	6.571
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5747	3.982	7.226
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7531	6.483	4.756
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#554313	8.999	5.173
pathwaycommons#chemical-affects	pathwaycommons#chemical-affects_gene/entrez#5595	2.847	4.757
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#9612	1.228	1.838
#gene-disease-association	#gene-disease-association_disease/mesh#C562729	4.548	2.630
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6396	5.230	9.362
#gene-disease-association	#gene-disease-association_disease/mesh#D006973	3.281	3.136
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10734	8.789	6.869
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#22974	7.145	4.524
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#23710	3.823	5.197
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#57122	5.850	8.914
#gene-disease-association	#gene-disease-association_disease/mesh#D008607	4.067	2.989
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10540	7.830	5.238
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5915	9.468	6.065
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5928	8.506	6.036
pathwaycommons#chemical-affects	pathwaycommons#chemical-affects_gene/entrez#3569	5.166	1.562
#drug-has-target	#drug-has-target_protein/uniprot#P17342	1.526	5.302
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10426	7.193	4.433
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#7533	6.022	5.023
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#4957	7.369	5.513
#gene-disease-association	#gene-disease-association_disease/mesh#D004715	6.600	6.505
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2922	3.605	1.691
pathwaycommons#controls-transport-of-chemical	pathwaycommons#controls-transport-of-chemical_chemical/chebi#29103	3.828	1.689
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#11243	5.679	9.092
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#54820	6.801	5.854
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#147841	5.312	9.015
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6385	2.918	7.668
#gene-disease-association	#gene-disease-association_disease/mesh#D012128	3.443	4.632
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7874	5.966	2.909
#gene-disease-association	#gene-disease-association_disease/mesh#D003924	2.402	3.455
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#91807	8.233	3.380
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10891	5.576	4.325
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#60684	7.426	2.670
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#85378	7.229	4.401
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#9778	8.610	3.145
#gene-disease-association	#gene-disease-association_disease/mesh#D008180	0.711	3.025
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#29984	8.600	9.156
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10388	8.706	6.900
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#2670	8.863	2.993
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3676	3.919	7.865
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6714	3.050	7.931
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#23345	8.658	6.863
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7277	6.647	4.869
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2913	2.017	2.129
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#84557	6.530	2.737
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#5097	7.959	3.396
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#9886	8.639	9.163
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2793	2.880	2.382
pathwaycommons#controls-transport-of	pathwaycommons#controls-transport-of_gene/entrez#6773	2.394	9.040
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#27339	6.364	2.253
#gene-disease-association	#gene-disease-association_disease/mesh#D020261	7.151	6.856
#drug-has-target	#drug-has-target_protein/uniprot#Q9BTU6	1.464	5.317
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#2335	8.937	3.212
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#23054	9.281	6.187
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#151648	5.383	9.171
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#8848	7.398	2.682
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#5197	7.816	3.333
#gene-disease-association	#gene-disease-association_disease/mesh#D010523	4.390	2.738
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#27127	8.838	6.870
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#653604	8.920	5.869
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2917	2.017	2.129
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#25759	3.153	7.469
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#5178	7.839	3.363
#gene-disease-association	#gene-disease-association_disease/mesh#D008107	0.417	2.911
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6637	6.987	1.879
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6632	6.976	1.679
#gene-disease-association	#gene-disease-association_disease/mesh#C531617	4.461	2.570
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#23433	8.501	8.939
pathwaycommons#controls-phosphorylation-of	pathwaycommons#controls-phosphorylation-of_gene/entrez#6778	2.141	8.940
#gene-disease-association	#gene-disease-association_disease/mesh#D008113	3.390	4.108
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#79023	5.784	8.945
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3199	8.989	6.169
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#6262	7.533	3.173
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#9991	6.603	1.777
#drug-has-target	#drug-has-target_protein/uniprot#P55786	1.565	5.545
#gene-disease-association	#gene-disease-association_disease/mesh#D002289	4.144	4.021
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#57405	5.268	9.064
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#51199	7.488	5.335
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5903	5.436	9.292
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3674	3.892	8.015
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3192	6.264	8.285
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#1639	7.831	5.236
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#7273	7.379	2.569
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#58480	8.576	9.264
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#91147	6.784	4.678
#gene-disease-association	#gene-disease-association_disease/mesh#D006332	3.463	2.969
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#23244	5.658	8.985
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#2934	8.822	2.919
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#5521	5.495	5.047
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3396	6.371	5.794
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3932	3.241	7.871
